service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,fromFile,day,stop_name,delay_mins
2021-11-04,64,Inbound,53490990,1059,cntsq,4,Midpoint,Schedule,1900-01-01T12:18:00Z,1900-01-01T12:15:54Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-2.1
2021-11-04,64,Inbound,53490990,2231,kndl,5,Endpoint,Schedule,1900-01-01T12:29:00Z,1900-01-01T12:26:43Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-2.28
2021-11-04,64,Inbound,53491549,1214,oaksq,1,Startpoint,Schedule,1900-01-01T12:37:00Z,1900-01-01T12:33:34Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-3.43
2021-11-04,64,Inbound,53491549,1110,union,2,Midpoint,Schedule,1900-01-01T12:48:00Z,1900-01-01T12:46:24Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,-1.6
2021-11-04,64,Inbound,53491549,1116,alrmp,3,Midpoint,Schedule,1900-01-01T12:55:00Z,1900-01-01T12:56:18Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,1.3
2021-11-04,64,Inbound,53491549,1059,cntsq,4,Midpoint,Schedule,1900-01-01T13:03:00Z,1900-01-01T13:00:55Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-2.08
2021-11-04,64,Inbound,53491549,2231,kndl,5,Endpoint,Schedule,1900-01-01T13:14:00Z,1900-01-01T13:09:59Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-4.02
2021-11-04,64,Inbound,53490740,1214,oaksq,1,Startpoint,Schedule,1900-01-01T13:22:00Z,1900-01-01T13:21:46Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-0.23
2021-11-04,64,Inbound,53490740,1110,union,2,Midpoint,Schedule,1900-01-01T13:33:00Z,1900-01-01T13:32:39Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,-0.35
2021-11-04,64,Inbound,53490740,1116,alrmp,3,Midpoint,Schedule,1900-01-01T13:40:00Z,1900-01-01T13:38:15Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-1.75
2021-11-04,64,Inbound,53490740,1059,cntsq,4,Midpoint,Schedule,1900-01-01T13:48:00Z,1900-01-01T13:41:24Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-6.6
2021-11-04,64,Inbound,53490740,2231,kndl,5,Endpoint,Schedule,1900-01-01T13:59:00Z,1900-01-01T13:49:55Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-9.08
2021-11-04,64,Inbound,53490746,1214,oaksq,1,Startpoint,Schedule,1900-01-01T14:07:00Z,1900-01-01T14:07:21Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,0.35
2021-11-04,64,Inbound,53490746,1110,union,2,Midpoint,Schedule,1900-01-01T14:18:00Z,1900-01-01T14:19:46Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,1.77
2021-11-04,64,Inbound,53490746,1116,alrmp,3,Midpoint,Schedule,1900-01-01T14:25:00Z,1900-01-01T14:27:13Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,2.22
2021-11-04,64,Inbound,53490746,1059,cntsq,4,Midpoint,Schedule,1900-01-01T14:33:00Z,1900-01-01T14:30:53Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-2.12
2021-11-04,64,Inbound,53490746,2231,kndl,5,Endpoint,Schedule,1900-01-01T14:44:00Z,1900-01-01T14:40:05Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-3.92
2021-11-04,64,Inbound,53490742,1214,oaksq,1,Startpoint,Schedule,1900-01-01T14:54:00Z,1900-01-01T14:53:40Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-0.33
2021-11-04,64,Inbound,53490742,1110,union,2,Midpoint,Schedule,1900-01-01T15:05:00Z,1900-01-01T15:07:04Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,2.07
2021-11-04,64,Inbound,53490742,1116,alrmp,3,Midpoint,Schedule,1900-01-01T15:12:00Z,1900-01-01T15:13:58Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,1.97
2021-11-04,64,Inbound,53490742,1059,cntsq,4,Midpoint,Schedule,1900-01-01T15:20:00Z,1900-01-01T15:17:36Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-2.4
2021-11-04,64,Inbound,53490742,2231,kndl,5,Endpoint,Schedule,1900-01-01T15:31:00Z,1900-01-01T15:28:23Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-2.62
2021-11-04,64,Inbound,53490748,1214,oaksq,1,Startpoint,Schedule,1900-01-01T15:41:00Z,1900-01-01T15:40:50Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-0.17
2021-11-04,64,Inbound,53490748,1110,union,2,Midpoint,Schedule,1900-01-01T15:52:00Z,1900-01-01T15:53:42Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,1.7
2021-11-04,64,Inbound,53490748,1116,alrmp,3,Midpoint,Schedule,1900-01-01T15:59:00Z,1900-01-01T16:00:46Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,1.77
2021-11-04,64,Inbound,53490748,1059,cntsq,4,Midpoint,Schedule,1900-01-01T16:07:00Z,1900-01-01T16:04:02Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-2.97
2021-11-04,64,Inbound,53490748,2231,kndl,5,Endpoint,Schedule,1900-01-01T16:18:00Z,,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,
2021-11-04,64,Inbound,53490744,1214,oaksq,1,Startpoint,Schedule,1900-01-01T16:28:00Z,1900-01-01T16:27:30Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-0.5
2021-11-04,64,Inbound,53490744,1110,union,2,Midpoint,Schedule,1900-01-01T16:44:00Z,1900-01-01T16:39:27Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,-4.55
2021-11-04,64,Inbound,53490744,1116,alrmp,3,Midpoint,Schedule,1900-01-01T16:52:00Z,1900-01-01T16:47:21Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-4.65
2021-11-04,64,Inbound,53490744,1059,cntsq,4,Midpoint,Schedule,1900-01-01T17:01:00Z,1900-01-01T16:50:26Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-10.57
2021-11-04,64,Inbound,53490714,1214,oaksq,1,Startpoint,Schedule,1900-01-01T17:08:00Z,1900-01-01T17:09:17Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,1.28
2021-11-04,64,Inbound,53490744,2231,kndl,5,Endpoint,Schedule,1900-01-01T17:16:00Z,,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,
2021-11-04,64,Inbound,53490714,1110,union,2,Midpoint,Schedule,1900-01-01T17:24:00Z,1900-01-01T17:26:20Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,2.33
2021-11-04,64,Inbound,53490714,1116,alrmp,3,Midpoint,Schedule,1900-01-01T17:32:00Z,1900-01-01T17:34:14Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,2.23
2021-11-04,64,Inbound,53490714,1059,cntsq,4,Midpoint,Schedule,1900-01-01T17:41:00Z,1900-01-01T17:38:48Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-2.2
